Culture;Block;Mixture;Days;Species;Individual_mass;Mean_LA;Mean_SLA;Initial_relbiomass;Final_relbiomass
J20B3LmSpWc;3;LmSpWc;20;Lm;2.39;12.7401;5.330585774;30.22833333;457.1
J20B3LmSpWc;3;LmSpWc;20;Sp;4.17;28.6862;6.879184652;24.26190476;251.4
J20B3LmSpWc;3;LmSpWc;20;Wc;0.18;0.4814;2.674444444;25.87777778;280
J20B3LmSpLt;3;LmSpLt;20;Lm;1.66;12.3426;7.435301205;30.22833333;720
J20B3LmSpLt;3;LmSpLt;20;Sp;3.47;25.0709;7.225043228;24.26190476;176.3
J20B3LmSpLt;3;LmSpLt;20;Lt;1.76;11.6069;6.594829545;20.57142857;23.7
J20B3LmWcLt;3;LmWcLt;20;Lm;1.69;11.6814;6.912071006;30.22833333;591.8
J20B3LmWcLt;3;LmWcLt;20;Wc;0.18;0.4592;2.551111111;25.87777778;316
J20B3LmWcLt;3;LmWcLt;20;Lt;1.02;7.6427;7.492843137;20.57142857;16.2
J20B3SpWcLt;3;SpWcLt;20;Sp;4.91;29.3012;5.967657841;24.26190476;313.9
J20B3SpWcLt;3;SpWcLt;20;Wc;0.21;0.4976;2.36952381;25.87777778;445.6
J20B3SpWcLt;3;SpWcLt;20;Lt;1.5;10.0548;6.7032;20.57142857;20.5
J20B3LmSpWcLt;3;LmSpWcLt;20;Lm;1.59;11.2813;7.095157233;21.59166667;515
J20B3LmSpWcLt;3;LmSpWcLt;20;Sp;3.46;24.4616;7.06982659;19.40952381;132.4
J20B3LmSpWcLt;3;LmSpWcLt;20;Wc;0.18;0.4722;2.623333333;19.40833333;268
J20B3LmSpWcLt;3;LmSpWcLt;20;Lt;1.11;7.3171;6.591981982;16;11.7
J40B1Lm;1;Lm;40;Lm;1.6;9.9852;6.24075;86.36666667;2088.4
J40B1Sp;1;Sp;40;Sp;3.93;26.3594;6.707226463;67.93333333;1700.5
J40B1Wc;1;Wc;40;Wc;0.1;0.3303;3.303;77.63333333;2071.5
J40B1Lt;1;Lt;40;Lt;1.63;12.3294;7.56404908;64;113.1
J40B1LmSp;1;LmSp;40;Lm;1.37;9.4216;6.877080292;43.18333333;1294.3
J40B1LmSp;1;LmSp;40;Sp;3.12;25.3092;8.111923077;33.96666667;566.3
J40B1LmWc;1;LmWc;40;Lm;1.08;9.4139;8.716574074;43.18333333;1260
J40B1LmWc;1;LmWc;40;Wc;0.13;0.34;2.615384615;38.81666667;628.1
J40B1LmLt;1;LmLt;40;Lm;1.28;9.9943;7.808046875;43.18333333;2082.4
J40B1LmLt;1;LmLt;40;Lt;1.24;10.4144;8.398709677;32;56.7
J40B1SpWc;1;SpWc;40;Sp;2.93;26.2096;8.945255973;33.96666667;901.8
J40B1SpWc;1;SpWc;40;Wc;0.11;0.3279;2.980909091;38.81666667;903
J40B1SpLt;1;SpLt;40;Sp;4;30.9665;7.741625;33.96666667;1536.8
J40B1SpLt;1;SpLt;40;Lt;1.53;11.7865;7.703594771;32;57.5
J40B1WcLt;1;WcLt;40;Wc;0.1;0.3099;3.099;38.81666667;1970.6
J40B1WcLt;1;WcLt;40;Lt;1.5;12.7416;8.4944;32;35.5
J40B1LmSpWc;1;LmSpWc;40;Lm;1.07;11.3601;10.61691589;30.22833333;829.7
J40B1LmSpWc;1;LmSpWc;40;Sp;2.39;23.6393;9.890920502;24.26190476;372
J40B1LmSpWc;1;LmSpWc;40;Wc;0.1;0.3301;3.301;25.87777778;443.8
J40B1LmSpLt;1;LmSpLt;40;Lm;1.54;10.5692;6.863116883;30.22833333;1298.4
J40B1LmSpLt;1;LmSpLt;40;Sp;3.41;28.4105;8.331524927;24.26190476;487
J40B1LmSpLt;1;LmSpLt;40;Lt;1.31;14.9536;11.41496183;20.57142857;32
J40B1LmWcLt;1;LmWcLt;40;Lm;1.53;10.066;6.579084967;30.22833333;1246.1
J40B1LmWcLt;1;LmWcLt;40;Wc;0.12;0.3708;3.09;25.87777778;698.1
J40B1LmWcLt;1;LmWcLt;40;Lt;1.72;12.1318;7.053372093;20.57142857;29
J40B1SpWcLt;1;SpWcLt;40;Sp;3.52;26.3796;7.494204545;24.26190476;776.5
J40B1SpWcLt;1;SpWcLt;40;Wc;0.11;0.3618;3.289090909;25.87777778;874.2
J40B1SpWcLt;1;SpWcLt;40;Lt;1.2;10.5939;8.82825;20.57142857;23.3
J40B1LmSpWcLt;1;LmSpWcLt;40;Lm;1.39;10.1167;7.278201439;21.59166667;1002.9
J40B1LmSpWcLt;1;LmSpWcLt;40;Sp;3.46;26.5562;7.675202312;19.40952381;591.1
J40B1LmSpWcLt;1;LmSpWcLt;40;Wc;0.1;0.341;3.41;19.40833333;475.8
J40B1LmSpWcLt;1;LmSpWcLt;40;Lt;1.22;13.2955;10.89795082;16;33
J40B2Lm;2;Lm;40;Lm;1;8.5175;8.5175;86.36666667;1958.8
J40B2Sp;2;Sp;40;Sp;3.94;30.226;7.671573604;67.93333333;1622.5
J40B2Wc;2;Wc;40;Wc;0.12;0.3744;3.12;77.63333333;2065.3
J40B2Lt;2;Lt;40;Lt;1.33;9.56;7.187969925;64;90.8
J40B2LmSp;2;LmSp;40;Lm;1.78;11.4639;6.440393258;43.18333333;1309.3
J40B2LmSp;2;LmSp;40;Sp;4.1;29.6541;7.232707317;33.96666667;580.2
J40B2LmWc;2;LmWc;40;Lm;1.17;10.851;9.274358974;43.18333333;1080.6
J40B2LmWc;2;LmWc;40;Wc;0.11;0.3358;3.052727273;38.81666667;958.3
J40B2LmLt;2;LmLt;40;Lm;1.56;11.4574;7.344487179;43.18333333;1885.4
J40B2LmLt;2;LmLt;40;Lt;1.84;14.8796;8.08673913;32;61.4
J40B2SpWc;2;SpWc;40;Sp;3.84;28.0099;7.294244792;33.96666667;586.3
J40B2SpWc;2;SpWc;40;Wc;0.1;0.424;4.24;38.81666667;1133.1
J40B2SpLt;2;SpLt;40;Sp;4.78;34.8404;7.288786611;33.96666667;1694.2
J40B2SpLt;2;SpLt;40;Lt;1.47;11.6757;7.942653061;32;51.4
J40B2WcLt;2;WcLt;40;Wc;0.1;0.3284;3.284;38.81666667;2004.3
J40B2WcLt;2;WcLt;40;Lt;1.25;9.3086;7.44688;32;23.8
J40B2LmSpWc;2;LmSpWc;40;Lm;1.87;11.2379;6.009572193;30.22833333;830.4
J40B2LmSpWc;2;LmSpWc;40;Sp;3.47;25.9633;7.48221902;24.26190476;303
J40B2LmSpWc;2;LmSpWc;40;Wc;0.1;0.3551;3.551;25.87777778;826.5
J40B2LmSpLt;2;LmSpLt;40;Lm;1.73;11.3617;6.567456647;30.22833333;1035
J40B2LmSpLt;2;LmSpLt;40;Sp;3.7;28.6657;7.747486486;24.26190476;691
J40B2LmSpLt;2;LmSpLt;40;Lt;1.43;12.5241;8.758111888;20.57142857;37.8
J40B2LmWcLt;2;LmWcLt;40;Lm;1.31;9.8373;7.509389313;30.22833333;1279.3
J40B2LmWcLt;2;LmWcLt;40;Wc;0.09;0.3285;3.65;25.87777778;765.3
J40B2LmWcLt;2;LmWcLt;40;Lt;1.41;10.3844;7.364822695;20.57142857;20.3
J40B2SpWcLt;2;SpWcLt;40;Sp;4.16;33.037;7.941586538;24.26190476;656.2
J40B2SpWcLt;2;SpWcLt;40;Wc;0.1;0.4013;4.013;25.87777778;1069.7
J40B2SpWcLt;2;SpWcLt;40;Lt;1.7;11.1564;6.562588235;20.57142857;17.6
J40B2LmSpWcLt;2;LmSpWcLt;40;Lm;1.7;11.4744;6.749647059;21.59166667;917.8
J40B2LmSpWcLt;2;LmSpWcLt;40;Sp;2.94;23.4469;7.975136054;19.40952381;369.6
J40B2LmSpWcLt;2;LmSpWcLt;40;Wc;0.09;0.3948;4.386666667;19.40833333;664.8
J40B2LmSpWcLt;2;LmSpWcLt;40;Lt;1.17;8.3174;7.108888889;16;20.6
J40B3Lm;3;Lm;40;Lm;1.61;11.2095;6.96242236;86.36666667;2066.1
J40B3Sp;3;Sp;40;Sp;4.26;32.6203;7.657347418;67.93333333;1684.6
J40B3Wc;3;Wc;40;Wc;0.12;0.299;2.491666667;77.63333333;2162.3
J40B3Lt;3;Lt;40;Lt;1.94;16.38;8.443298969;64;121.9
J40B3LmSp;3;LmSp;40;Lm;1.82;13.1863;7.24521978;43.18333333;1472.2
J40B3LmSp;3;LmSp;40;Sp;3.45;26.2712;7.61484058;33.96666667;658.2
J40B3LmWc;3;LmWc;40;Lm;1.4;10.199;7.285;43.18333333;971.4
J40B3LmWc;3;LmWc;40;Wc;0.07;0.2968;4.24;38.81666667;1113.9
J40B3LmLt;3;LmLt;40;Lm;1.64;11.0326;6.727195122;43.18333333;1861.7
J40B3LmLt;3;LmLt;40;Lt;2.06;16.832556;8.171143689;32;101.2
J40B3SpWc;3;SpWc;40;Sp;3.37;28.2601;8.38578635;33.96666667;426.2
J40B3SpWc;3;SpWc;40;Wc;0.09;0.2978;3.308888889;38.81666667;1422.9
J40B3SpLt;3;SpLt;40;Sp;4.53;29.1859;6.442803532;33.96666667;1491
J40B3SpLt;3;SpLt;40;Lt;1.44;13.194;9.1625;32;77.2
J40B3WcLt;3;WcLt;40;Wc;0.11;0.2922;2.656363636;38.81666667;2091.3
J40B3WcLt;3;WcLt;40;Lt;1.59;10.2217;6.428742138;32;33.2
J40B3LmSpWc;3;LmSpWc;40;Lm;1.39;10.064;7.24028777;30.22833333;834.8
J40B3LmSpWc;3;LmSpWc;40;Sp;2.91;25.0554;8.610103093;24.26190476;229.8
J40B3LmSpWc;3;LmSpWc;40;Wc;0.03;0.2595;8.65;25.87777778;783.7
J40B3LmSpLt;3;LmSpLt;40;Lm;1.4;11.2974;8.069571429;30.22833333;1269.3
J40B3LmSpLt;3;LmSpLt;40;Sp;3.46;26.2047;7.573612717;24.26190476;472.4
J40B3LmSpLt;3;LmSpLt;40;Lt;1.71;15.3692;8.987836257;20.57142857;45
J40B3LmWcLt;3;LmWcLt;40;Lm;1.69;11.2262;6.642721893;30.22833333;1170.4
J40B3LmWcLt;3;LmWcLt;40;Wc;0.12;0.3105;2.5875;25.87777778;851
J40B3LmWcLt;3;LmWcLt;40;Lt;1.79;13.7693;7.692346369;20.57142857;47.2
J40B3SpWcLt;3;SpWcLt;40;Sp;3.03;23.2806;7.683366337;24.26190476;471
J40B3SpWcLt;3;SpWcLt;40;Wc;0.15;0.369;2.46;25.87777778;1302.3
J40B3SpWcLt;3;SpWcLt;40;Lt;1.62;11.2576;6.949135802;20.57142857;31
J40B3LmSpWcLt;3;LmSpWcLt;40;Lm;1.53;11.3465;7.416013072;21.59166667;1112.2
J40B3LmSpWcLt;3;LmSpWcLt;40;Sp;2.23;19.1264;8.576860987;19.40952381;169.1
J40B3LmSpWcLt;3;LmSpWcLt;40;Wc;0.09;0.2524;2.804444444;19.40833333;721.9
