Culture;Block;Mixture;Days;Species;Individual_mass;Mean_LA;Mean_SLA;Initial_relbiomass;Final_relbiomass
J40B3LmSpWcLt;3;LmSpWcLt;40;Lt;1.46;11.0778;7.587534247;16;32.9
J60B1Lm;1;Lm;60;Lm;1.2;9.033;7.5275;86.36666667;3238
J60B1Sp;1;Sp;60;Sp;3.38;26.0558;7.708816568;67.93333333;2192.1
J60B1Wc;1;Wc;60;Wc;0.13;0.2068;1.590769231;77.63333333;3139
J60B1Lt;1;Lt;60;Lt;2.02;12.6087;6.241930693;64;177.2
J60B1LmSp;1;LmSp;60;Lm;1.18;9.8224;8.324067797;43.18333333;2088.6
J60B1LmSp;1;LmSp;60;Sp;3.39;26.4068;7.789616519;33.96666667;609.1
J60B1LmWc;1;LmWc;60;Lm;0.98;7.9247;8.086428571;43.18333333;1855
J60B1LmWc;1;LmWc;60;Wc;0.07;0.242;3.457142857;38.81666667;1231.1
J60B1LmLt;1;LmLt;60;Lm;1.24;9.8467;7.940887097;43.18333333;2715
J60B1LmLt;1;LmLt;60;Lt;1.96;15.4721;7.893928571;32;176
J60B1SpWc;1;SpWc;60;Sp;3.01;23.0819;7.668405316;33.96666667;840.4
J60B1SpWc;1;SpWc;60;Wc;0.03;0.2162;7.206666667;38.81666667;1454.6
J60B1SpLt;1;SpLt;60;Sp;3.31;26.8388;8.108398792;33.96666667;2046.2
J60B1SpLt;1;SpLt;60;Lt;2.05;19.5981;9.56004878;32;200.1
J60B1WcLt;1;WcLt;60;Wc;0.05;0.2206;4.412;38.81666667;3105.9
J60B1WcLt;1;WcLt;60;Lt;1.4;10.5431;7.530785714;32;53.5
J60B1LmSpWc;1;LmSpWc;60;Lm;1.12;8.0304;7.17;30.22833333;1479.7
J60B1LmSpWc;1;LmSpWc;60;Sp;3.07;22.66015;7.381156352;24.26190476;647.2
J60B1LmSpWc;1;LmSpWc;60;Wc;0.03;0.2456;8.186666667;25.87777778;795.6
J60B1LmSpLt;1;LmSpLt;60;Lm;1.28;9.8641;7.706328125;30.22833333;1679
J60B1LmSpLt;1;LmSpLt;60;Sp;3.77;25.4567;6.752440318;24.26190476;825.6
J60B1LmSpLt;1;LmSpLt;60;Lt;1.77;14.6928;8.301016949;20.57142857;140.6
J60B1LmWcLt;1;LmWcLt;60;Lm;1.22;9.3736;7.683278689;30.22833333;1582.3
J60B1LmWcLt;1;LmWcLt;60;Wc;0.04;0.2321;5.8025;25.87777778;1186.6
J60B1LmWcLt;1;LmWcLt;60;Lt;1.76;11.8916;6.756590909;20.57142857;45.3
J60B1SpWcLt;1;SpWcLt;60;Sp;3.35;23.4295;6.993880597;24.26190476;1214.6
J60B1SpWcLt;1;SpWcLt;60;Wc;0.05;0.2162;4.324;25.87777778;1314.8
J60B1SpWcLt;1;SpWcLt;60;Lt;2.18;15.6107;7.16087156;20.57142857;77.5
J60B1LmSpWcLt;1;LmSpWcLt;60;Lm;1.34;9.1947;6.861716418;21.59166667;1198.7
J60B1LmSpWcLt;1;LmSpWcLt;60;Sp;3.25;24.5447;7.552215385;19.40952381;677.1
J60B1LmSpWcLt;1;LmSpWcLt;60;Wc;0.11;0.2121;1.928181818;19.40833333;843.3
J60B1LmSpWcLt;1;LmSpWcLt;60;Lt;2.55;17.133;6.718823529;16;55.5
J60B2Lm;2;Lm;60;Lm;1.23;9.2511;7.521219512;86.36666667;3309.8
J60B2Sp;2;Sp;60;Sp;4.15;29.3023;7.060795181;67.93333333;2301.4
J60B2Wc;2;Wc;60;Wc;0.08;0.2581;3.22625;77.63333333;3300
J60B2Lt;2;Lt;60;Lt;1.33;11.7321;8.82112782;64;127.3
J60B2LmSp;2;LmSp;60;Lm;1.2;8.6892;7.241;43.18333333;2245.6
J60B2LmSp;2;LmSp;60;Sp;3.06;26.8555;8.77630719;33.96666667;826.1
J60B2LmWc;2;LmWc;60;Lm;0.9;7.4273;8.252555556;43.18333333;2041
J60B2LmWc;2;LmWc;60;Wc;0.02;0.2228;11.14;38.81666667;1103.1
J60B2LmLt;2;LmLt;60;Lm;1.2;8.9462;7.455166667;43.18333333;2910.1
J60B2LmLt;2;LmLt;60;Lt;1.97;15.8874;8.064670051;32;145.3
J60B2SpWc;2;SpWc;60;Sp;3.18;25.4314;7.997295597;33.96666667;924.4
J60B2SpWc;2;SpWc;60;Wc;0.08;0.2439;3.04875;38.81666667;1727.8
J60B2SpLt;2;SpLt;60;Sp;4.58;29.4019;6.419628821;33.96666667;2515
J60B2SpLt;2;SpLt;60;Lt;2.26;19.3041;8.541637168;32;173.1
J60B2WcLt;2;WcLt;60;Wc;0.1;0.2322;2.322;38.81666667;3101
J60B2WcLt;2;WcLt;60;Lt;1.38;10.6958;7.75057971;32;42.6
J60B2LmSpWc;2;LmSpWc;60;Lm;1.1;9.4913;8.628454545;30.22833333;1770.6
J60B2LmSpWc;2;LmSpWc;60;Sp;3.11;23.3522;7.508745981;24.26190476;286.7
J60B2LmSpWc;2;LmSpWc;60;Wc;0.07;0.2383;3.404285714;25.87777778;929.1
J60B2LmSpLt;2;LmSpLt;60;Lm;1.02;8.751;8.579411765;30.22833333;2165.5
J60B2LmSpLt;2;LmSpLt;60;Sp;3.35;26.9117;8.033343284;24.26190476;491.2
J60B2LmSpLt;2;LmSpLt;60;Lt;2.4;20.2358;8.431583333;20.57142857;102.1
J60B2LmWcLt;2;LmWcLt;60;Lm;1.22;8.5623;7.018278689;30.22833333;1963.1
J60B2LmWcLt;2;LmWcLt;60;Wc;0.06;0.2222;3.703333333;25.87777778;1195
J60B2LmWcLt;2;LmWcLt;60;Lt;1.83;13.1396;7.18010929;20.57142857;72.7
J60B2SpWcLt;2;SpWcLt;60;Sp;3.06;23.8536;7.795294118;24.26190476;879.5
J60B2SpWcLt;2;SpWcLt;60;Wc;0.06;0.2118;3.53;25.87777778;1553.6
J60B2SpWcLt;2;SpWcLt;60;Lt;1.72;13.6177;7.917267442;20.57142857;42.3
J60B2LmSpWcLt;2;LmSpWcLt;60;Lm;1.36;9.2571;6.806691176;21.59166667;1393.2
J60B2LmSpWcLt;2;LmSpWcLt;60;Sp;2.73;20.5697;7.534688645;19.40952381;231.6
J60B2LmSpWcLt;2;LmSpWcLt;60;Wc;0.06;0.2543;4.238333333;19.40833333;1141.6
J60B2LmSpWcLt;2;LmSpWcLt;60;Lt;1.33;13.9701;10.50383459;16;32.9
J60B3Lm;3;Lm;60;Lm;1.39;10.3984;7.480863309;86.36666667;3041
J60B3Sp;3;Sp;60;Sp;7.43;28.7911;3.874979812;67.93333333;2510
J60B3Wc;3;Wc;60;Wc;0.01;0.2031;20.31;77.63333333;3476.1
J60B3Lt;3;Lt;60;Lt;1.4;11.0716;7.908285714;64;104.6
J60B3LmSp;3;LmSp;60;Lm;0.91;8.3398;9.164615385;43.18333333;1800.1
J60B3LmSp;3;LmSp;60;Sp;2.92;25.954;8.888356164;33.96666667;858.1
J60B3LmWc;3;LmWc;60;Lm;0.98;6.9244;7.065714286;43.18333333;1396.4
J60B3LmWc;3;LmWc;60;Wc;0.03;0.1664;5.546666667;38.81666667;1262.6
J60B3LmLt;3;LmLt;60;Lm;1.17;9.5692;8.178803419;43.18333333;2727.3
J60B3LmLt;3;LmLt;60;Lt;2.22;18.1156;8.16018018;32;124.1
J60B3SpWc;3;SpWc;60;Sp;3.07;25.9652;8.45771987;33.96666667;1030.8
J60B3SpWc;3;SpWc;60;Wc;0.06;0.222;3.7;38.81666667;1418.7
J60B3SpLt;3;SpLt;60;Sp;3.82;30.9159;8.093167539;33.96666667;2191.2
J60B3SpLt;3;SpLt;60;Lt;1.95;18.1169;9.290717949;32;135.5
J60B3WcLt;3;WcLt;60;Wc;0.04;0.1834;4.585;38.81666667;2943.8
J60B3WcLt;3;WcLt;60;Lt;1.1;10.0176;9.106909091;32;33.8
J60B3LmSpWc;3;LmSpWc;60;Lm;1.08;8.4923;7.863240741;30.22833333;1140.7
J60B3LmSpWc;3;LmSpWc;60;Sp;3.8;28.4651;7.490815789;24.26190476;1004.3
J60B3LmSpWc;3;LmSpWc;60;Wc;0.08;0.2543;3.17875;25.87777778;767.3
J60B3LmSpLt;3;LmSpLt;60;Lm;0.8;8.2007;10.250875;30.22833333;2119.5
J60B3LmSpLt;3;LmSpLt;60;Sp;3.26;27.9949;8.587392638;24.26190476;705.5
J60B3LmSpLt;3;LmSpLt;60;Lt;2.44;20.5236;8.411311475;20.57142857;137.4
J60B3LmWcLt;3;LmWcLt;60;Lm;1.22;8.7474;7.17;30.22833333;1721.6
J60B3LmWcLt;3;LmWcLt;60;Wc;0.04;0.2477;6.1925;25.87777778;1037
J60B3LmWcLt;3;LmWcLt;60;Lt;1.61;11.8979;7.39;20.57142857;50.2
J60B3SpWcLt;3;SpWcLt;60;Sp;3.75;31.0326;8.27536;24.26190476;1190.5
J60B3SpWcLt;3;SpWcLt;60;Wc;0.01;0.199;19.9;25.87777778;1249.5
J60B3SpWcLt;3;SpWcLt;60;Lt;2.15;17.2098;8.00455814;20.57142857;61.7
J60B3LmSpWcLt;3;LmSpWcLt;60;Lm;0.82;8.7337;10.65085366;21.59166667;896.1
J60B3LmSpWcLt;3;LmSpWcLt;60;Sp;2.84;27.1632;9.564507042;19.40952381;711
J60B3LmSpWcLt;3;LmSpWcLt;60;Wc;0.05;0.1836;3.672;19.40833333;805.5
J60B3LmSpWcLt;3;LmSpWcLt;60;Lt;1.72;17.9043;10.40947674;16;43.5
