Culture,Bloc,Composition,Jours,Biomasse ,RYT,NE,CE,SE,RS,DFSF,DFSLA,DFfMI,DFfALL
J20B1SpLt,1,SpLt,20,884.7,1.546978055,355.8892875,281.9398383,73.94944923,2,7.2272706,0.09012841,0.98745489,7.2949729
J20B1WcLt,1,WcLt,20,941.9,1.635246029,380.0780419,329.3115415,50.76650038,2,5.5042232,2.19155687,0.74470203,5.971095
J20B1LmSpWc,1,LmSpWc,20,1004.5,0.971952415,-32.72657882,-28.86470467,-3.861874152,3,8.3289134,2.14947434,1.17084623,8.9875593
J20B1LmSpLt,1,LmSpLt,20,887.5,1.200364375,92.74288379,145.9454104,-53.2025266,3,6.4106125,0.31593763,0.91686287,6.4869875
J20B1LmWcLt,1,LmWcLt,20,990.8,1.175361808,190.4935723,128.0784189,62.41515345,3,4.8859069,2.17910526,0.61904174,5.3993437
J20B1SpWcLt,1,SpWcLt,20,983,1.370888478,277.994332,247.3084372,30.68589476,3,9.3119698,2.09839988,1.26856691,9.8185073
J20B1LmSpWcLt,1,LmSpWcLt,20,953.5,1.167186147,122.1971208,131.8555344,-9.658413655,4,6.9615417,1.80818592,0.97184018,7.4952065
J20B2LmSp,2,LmSp,20,1023.2,1.005129596,-1.01000216,5.146267467,-6.156269627,2,7.2839899,0.28288212,1.07280096,7.3680007
J20B2LmWc,2,LmWc,20,1090.9,0.990791279,4.460589431,-9.956930078,14.41751951,2,5.3846369,2.58189671,0.64981868,6.0068935
J20B2LmLt,2,LmLt,20,882.1,1.332880733,185.7622257,203.7396525,-17.97742688,2,0.1523039,0.36884081,0.09778742,0.4108557
J20B2SpWc,2,SpWc,20,919.9,1.014427959,8.902381498,13.06884489,-4.166463391,2,12.7326103,2.29203853,1.73227375,13.052723
J20B2SpLt,2,SpLt,20,617.5,1.24559498,169.23714,107.2267682,62.01037182,2,7.2272706,0.09012841,0.98745489,7.2949729
J20B2WcLt,2,WcLt,20,783.4,1.443406982,223.6357731,228.1772328,-4.541459633,2,5.5042232,2.19155687,0.74470203,5.971095
J20B2LmSpWc,2,LmSpWc,20,1014.3,0.973935215,4.287519812,-25.98050896,30.26802878,3,8.3289134,2.14947434,1.17084623,8.9875593
J20B2LmSpLt,2,LmSpLt,20,889.5,1.307644115,134.8127324,210.4183198,-75.60558737,3,6.4106125,0.31593763,0.91686287,6.4869875
J20B2LmWcLt,2,LmWcLt,20,958.2,1.306896943,149.3237972,225.8659202,-76.542123,3,4.8859069,2.17910526,0.61904174,5.3993437
J20B2SpWcLt,2,SpWcLt,20,964.8,1.557722257,307.5269821,345.230077,-37.70309489,3,9.3119698,2.09839988,1.26856691,9.8185073
J20B2LmSpWcLt,2,LmSpWcLt,20,925.67,1.180091353,122.9216437,136.6758301,-13.75418643,4,6.9615417,1.80818592,0.97184018,7.4952065
J20B3LmSp,3,LmSp,20,943.3,1.06289578,76.01587816,53.93313162,22.08274654,2,7.2839899,0.28288212,1.07280096,7.3680007
J20B3LmWc,3,LmWc,20,1041.8,1.108503499,101.8792886,101.9878641,-0.108575441,2,5.3846369,2.58189671,0.64981868,6.0068935
J20B3LmLt,3,LmLt,20,956.9,1.661770173,393.0300377,329.7269885,63.30304917,2,0.1523039,0.36884081,0.09778742,0.4108557
J20B3SpWc,3,SpWc,20,916.5,1.061062705,52.9558507,52.39485394,0.560996762,2,12.7326103,2.29203853,1.73227375,13.052723
J20B3SpLt,3,SpLt,20,673.9,1.154414773,246.8396665,64.29059081,182.5490757,2,7.2272706,0.09012841,0.98745489,7.2949729
J20B3WcLt,3,WcLt,20,801.6,1.357323628,260.2828666,178.2330257,82.0498409,2,5.5042232,2.19155687,0.74470203,5.971095
J20B3LmSpWc,3,LmSpWc,20,988.5,1.108437318,98.19458572,95.98509922,2.209486502,3,8.3289134,2.14947434,1.17084623,8.9875593
J20B3LmSpLt,3,LmSpLt,20,920,1.408815855,275.3479374,241.4875254,33.86041203,3,6.4106125,0.31593763,0.91686287,6.4869875
J20B3LmWcLt,3,LmWcLt,20,924,1.249680859,220.9365589,161.2106081,59.72595076,3,4.8859069,2.17910526,0.61904174,5.3993437
J20B3SpWcLt,3,SpWcLt,20,780,1.237528729,153.0799699,140.3953139,12.68465602,3,9.3119698,2.09839988,1.26856691,9.8185073
